transaction_id,customer_id,timestamp,amount,percent_balance_transferred,beneficiary_id,beneficiary_bank_type,device_id,location,time_on_page_sec,is_call_active,is_new_beneficiary,is_fraud
0b237056-cd1f-48a6-bf92-e22fbc828cc6,0075d3d5-ba94-4a66-ad7e-4a452099e71f,2025-12-28 05:34:25,62.28,0.17,45b91b52-7fac-47b4-865f-73c10b420d1e,Traditional,91468cdc-f716-4b73-8555-23edfe8956c8,Garciaview,42,False,False,0
5d34a219-1299-4cb3-9d47-0a35c8163c27,b506c24d-8fff-49f7-b485-0fcd2f3b2b18,2025-12-09 00:43:03,395.25,0.98,6dc2d7db-9763-4e6c-8d87-a06a5ef993c3,Traditional,f9b81e65-8a34-426b-b2cc-3fc55f775a7a,West Shawn,26,False,False,0
6efd8fb1-e4a9-4588-a015-5171ed850f27,d513da02-544c-44d1-903b-a8c3ce830e27,2025-12-11 13:12:32,239.57,0.59,fb5f965d-c6d0-4bd9-a37c-b48efa928794,Traditional,37cf65ca-6c41-4493-af7c-ef263c667012,Perrychester,46,False,True,0
a8690c6d-7e27-4a2c-96f3-c4dc6546ea62,0ab1a504-1f8c-46e0-a431-13fd8e190d07,2025-12-28 03:22:04,112.09,0.82,dfdf8a67-c3e5-42d0-8d4a-ce29e290b957,Traditional,35c606b5-4e00-4d55-95ca-dfaff26d3dd3,Brookeview,21,False,False,0
878548f5-0432-49c6-ba91-1958e7c9ba3e,b495db4e-8245-4fb4-8ab7-706eb77350ca,2025-12-23 09:59:04,129.71,5.2,558dfdfa-2e46-47f1-944b-c90955dc22ed,Crypto_Exchange,25074181-8d1f-4540-b4ef-f5453e652603,Martinfort,49,False,False,0
ed89a1ac-5aca-4153-9581-3f92e2e9bfe4,e8ca7483-dc0e-4375-85d0-691c33cd1d56,2025-12-31 17:26:16,174.14,0.52,9598aab4-a38d-4a53-bee0-0d67cab21b78,NeoBank,e6cfcbd8-79d2-4001-ad6b-8a4e18a70609,Tracystad,20,False,False,0
e074cf5a-31db-4398-8a9b-6dabe0958c06,8cd4b90a-bf82-41bc-8e52-fc4273c374a6,2025-12-25 10:16:30,178.37,0.66,505321a6-78e8-45fa-b1e4-41549ccee93c,NeoBank,0fc98d2e-030f-4be9-9f17-8f9323c97a1e,New Randyburgh,24,False,False,0
e5d6ab9b-21dc-4e12-8dbb-ba59ba5943e8,5496f63c-dc11-40c1-880a-adfbe7c99b26,2025-12-31 14:58:35,27.31,0.1,a5e39314-ace6-49cb-84bc-969a452f03c9,NeoBank,b92da22b-21df-406f-8a0b-3c3336d8393a,Kennedystad,34,True,False,0
7688a5fa-99cf-4d97-a069-22515fe0e321,bc3e1d19-75f9-4230-b2fd-73c508942176,2026-01-05 04:16:34,171.21,0.65,4b19197d-15a9-45b6-82a0-c05317662e7a,Traditional,f6121d2c-ae73-40eb-a39d-8fe7790b185c,East Katherine,31,False,False,0
71603b59-6ed0-4ef9-bc15-c81e0fa88502,f97f4994-1f38-4f55-833a-c4d6d4085391,2025-12-25 04:44:57,38.79,0.21,f232e871-4484-451d-9cf2-d920cfb988f6,Traditional,fe99df69-bcd4-4975-bf46-057b7165e36b,New James,33,False,False,0
034296fa-f655-4f35-a44f-35c674890e8c,2d9563ed-747a-4829-9c03-d65ced8a028c,2025-12-30 13:58:31,29.22,0.11,2d71a040-0554-488b-9584-92ba6d8c5504,Traditional,450ab36d-f9be-47f3-9bcc-90fca1cc22d8,Nicoleburgh,46,False,False,0
e19f8cc9-bdde-449e-a835-f6d11f5dd7ba,ec24a3c5-c754-408f-b418-8f3f8a14be62,2025-12-11 12:28:04,53.08,0.47,2d6b5a30-2fae-4978-94c0-98b86d1040a0,Traditional,5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Port Matthewbury,54,True,False,0
e6694f3f-8dbe-41e1-961a-a2030216d820,7cf07bb3-f343-49eb-b466-ef025e7b72c8,2026-01-05 09:29:10,234.38,0.74,c81f5bbd-f76e-44c9-b46e-8c4d1643094d,Traditional,f8ded777-bb1e-4ae8-97d8-21b8bb93cd40,East Laurenbury,37,True,False,0
